race,age,engnat,gender,hand,source,country,E,N,A,C,O,maximum,personality_type
3,25,1,2,1,1,US,3.0,2.8,2.8,3.4,3.5,3.5,O
3,21,1,2,1,2,US,2.9,2.8,3.2,3.2,3.0,3.2,A
3,59,1,1,1,1,IE,2.8,2.2,2.8,2.6,3.7,3.7,O
3,30,1,2,1,2,US,2.9,2.1,2.8,2.8,3.7,3.7,O
3,37,1,2,1,1,US,3.1,3.4,3.1,2.8,4.2,4.2,O
11,27,2,2,1,1,NZ,3.0,3.7,3.3,3.1,3.0,3.7,N
6,41,1,2,2,2,US,3.0,3.3,3.1,3.2,3.4,3.4,O
3,18,1,1,1,1,GB,3.4,2.8,3.4,3.0,3.3,3.4,E
3,21,1,2,1,1,US,2.9,3.5,3.4,3.2,3.2,3.5,N
6,15,1,2,1,1,US,3.2,2.8,3.3,3.7,3.2,3.7,C
3,18,2,2,1,1,BR,2.6,4.1,2.9,3.3,3.9,4.1,N
3,20,1,1,2,1,GB,3.0,2.4,3.4,2.8,3.5,3.5,O
13,35,1,1,1,1,US,3.2,2.5,3.3,3.3,3.7,3.7,O
3,24,1,2,1,1,GB,2.6,3.1,2.7,2.7,3.0,3.1,N
3,33,1,2,1,1,US,3.3,3.9,2.8,2.8,3.3,3.9,N
1,20,2,2,1,1,PH,3.1,2.8,2.6,2.9,2.7,3.1,E
3,59,1,2,1,1,US,3.1,2.2,3.4,2.8,3.4,3.4,A
3,19,1,2,2,1,CA,2.9,2.8,3.1,3.0,3.5,3.5,O
13,26,2,1,1,1,BR,2.4,3.3,3.0,3.6,3.6,3.6,C
3,24,2,2,1,1,CA,2.7,2.2,3.7,4.0,3.5,4.0,C
3,31,1,2,1,2,US,3.0,3.8,3.5,3.0,3.1,3.8,N
3,30,1,2,1,1,US,2.6,2.7,3.5,2.8,3.2,3.5,A
5,18,1,2,1,1,US,2.6,3.4,3.0,3.2,2.5,3.4,N
13,24,1,2,1,5,US,2.9,3.1,3.1,3.4,3.3,3.4,C
13,13,0,2,1,1,US,3.1,2.7,3.1,3.5,3.8,3.8,O
3,19,1,2,1,1,US,3.2,2.5,3.4,2.8,3.1,3.4,A
11,20,1,2,1,2,US,3.1,3.4,2.9,2.9,3.4,3.4,N
11,13,1,2,1,1,US,2.9,3.4,3.0,3.6,3.5,3.6,C
13,16,1,2,1,2,US,3.0,3.6,2.7,2.6,3.3,3.6,N
3,17,1,2,1,1,AU,2.5,2.2,3.4,2.8,3.3,3.4,A
3,27,1,2,1,1,US,3.0,2.3,3.4,2.2,3.1,3.4,A
3,20,1,2,1,5,US,2.7,2.7,2.9,3.1,3.6,3.6,O
9,44,2,2,1,1,JP,2.9,2.8,3.0,2.7,2.9,3.0,A
3,21,1,2,1,1,CA,3.0,3.5,3.1,2.9,3.0,3.5,N
3,21,1,2,1,2,CA,3.0,2.9,3.0,3.7,3.4,3.7,C
4,23,2,1,1,1,IN,3.2,2.6,3.5,3.0,2.6,3.5,A
13,24,1,2,1,1,US,2.9,4.1,4.0,3.3,4.3,4.3,O
1,39,1,1,1,1,CA,3.3,2.8,2.8,2.3,2.9,3.3,E
3,45,1,2,1,2,US,2.7,3.0,2.9,3.8,3.6,3.8,C
3,45,1,2,2,5,US,2.8,2.8,3.3,2.5,3.0,3.3,A
1,20,1,1,1,1,US,3.1,1.8,3.3,3.3,3.7,3.7,O
13,21,1,2,1,1,US,3.1,3.8,3.0,3.8,3.3,3.8,N
1,23,2,2,1,2,ID,2.3,3.1,3.4,3.4,3.3,3.4,A
9,23,2,2,1,1,PH,2.6,2.9,3.0,3.5,3.6,3.6,O
3,22,1,2,1,1,US,3.2,3.4,3.1,3.1,3.0,3.4,N
3,16,1,2,1,1,US,3.6,3.6,3.6,3.3,3.6,3.6,E
3,20,1,1,1,5,AU,3.0,2.6,3.5,2.5,3.7,3.7,O
1,33,2,2,1,1,IN,3.4,2.3,3.6,3.1,2.9,3.6,A
13,17,1,2,1,1,AU,3.3,3.7,3.0,3.1,3.3,3.7,N
11,17,1,0,1,1,CA,2.7,2.8,2.8,3.2,3.3,3.3,O
3,20,1,2,1,5,US,2.7,4.0,3.4,3.5,3.1,4.0,N
1,59,1,2,1,1,US,2.8,1.8,3.2,2.0,3.3,3.3,O
3,25,1,1,1,2,CA,3.4,2.5,3.4,3.8,3.6,3.8,C
3,18,1,2,1,1,AU,2.2,3.4,2.2,2.8,3.3,3.4,N
1,27,2,1,1,1,US,3.1,3.8,3.6,3.3,3.2,3.8,N
3,24,1,2,1,1,CA,2.9,3.3,3.5,2.8,3.1,3.5,A
3,29,1,1,3,1,US,3.1,2.2,3.2,3.0,3.8,3.8,O
3,16,1,2,3,1,US,3.3,2.0,3.4,3.0,3.2,3.4,A
11,29,1,1,1,2,US,3.7,2.5,3.3,3.3,3.2,3.7,E
13,33,2,2,1,2,US,2.9,4.0,2.9,2.6,3.2,4.0,N
4,21,2,1,1,1,IN,3.3,3.1,3.3,3.0,3.3,3.3,E
3,26,1,1,1,3,US,3.2,3.1,3.1,3.1,3.6,3.6,O
11,21,2,1,1,1,IN,2.9,3.1,3.1,2.8,2.8,3.1,N
4,26,2,2,1,1,IN,3.2,2.9,3.1,2.6,3.2,3.2,E
3,14,1,1,1,1,US,2.9,3.6,3.1,3.0,3.7,3.7,O
1,13,1,1,1,1,US,3.4,4.4,3.4,3.2,3.4,4.4,N
3,30,2,1,1,1,SE,3.1,2.6,3.5,3.5,3.6,3.6,O
3,27,1,1,1,1,US,3.7,3.9,3.4,3.2,3.8,3.9,N
3,17,1,1,1,1,US,3.0,4.1,3.1,3.4,3.7,4.1,N
13,17,1,2,1,5,US,3.5,2.9,2.8,2.6,2.9,3.5,E
11,19,1,2,1,1,AU,3.1,2.8,2.9,3.1,3.0,3.1,E
0,18,1,1,1,1,US,3.1,2.6,2.4,3.3,3.6,3.6,O
11,23,2,2,1,1,MY,2.8,3.1,3.1,2.9,3.2,3.2,O
1,20,2,2,1,1,IN,3.2,2.3,4.2,3.3,2.7,4.2,A
11,19,2,2,1,2,MY,3.1,3.8,3.6,3.3,3.3,3.8,N
